时间戳,事件类型,详细信息
2025-10-14 09:19:46,错误,停止摄像头检测失败: 'DetectionManager' object has no attribute 'camera_detection_process'
2025-10-14 09:24:47,系统启动,地铁屏蔽门间隙检测系统正在启动...
2025-10-14 09:24:55,模型加载,成功加载模型: yolov5s.pt
2025-10-14 09:24:58,摄像头检测,摄像头检测进程未运行
2025-10-14 09:24:58,摄像头检测,开始摄像头实时检测，命令: D:AppInstall\pythonPyTorch+yolo\anaconda\install\envs\pytorch\python.exe e:\kaifa\gapDetection_trae\detect.py --source 0 --view-img --conf-thres 0.4 --iou-thres 0.45 --classes 0 24 25 26 28 39 41 67 27 77
2025-10-14 09:24:58,摄像头检测,摄像头检测进程已成功启动
2025-10-14 09:25:03,状态变化,从 SystemState.IDLE 切换到 SystemState.CLOSING
2025-10-14 09:25:03,检测控制,开始摄像头实时检测
2025-10-14 09:25:03,摄像头检测,尝试停止摄像头检测进程
2025-10-14 09:25:04,摄像头检测,摄像头检测进程已停止
2025-10-14 09:25:04,摄像头检测,开始摄像头实时检测，命令: D:AppInstall\pythonPyTorch+yolo\anaconda\install\envs\pytorch\python.exe e:\kaifa\gapDetection_trae\detect.py --source 0 --view-img --conf-thres 0.4 --iou-thres 0.45 --classes 0 24 25 26 28 39 41 67 27 77
2025-10-14 09:25:04,摄像头检测,摄像头检测进程已成功启动
2025-10-14 09:25:12,错误,监控检测进程失败: 'gbk' codec can't decode byte 0x85 in position 290: illegal multibyte sequence
2025-10-14 09:25:15,状态变化,从 SystemState.CLOSING 切换到 SystemState.CLOSED
2025-10-14 09:25:15,检测控制,停止摄像头实时检测
2025-10-14 09:25:15,摄像头检测,尝试停止摄像头检测进程
2025-10-14 09:25:15,摄像头检测,摄像头检测进程已停止
2025-10-14 09:25:20,摄像头检测,摄像头检测进程未运行
2025-10-14 09:25:22,摄像头检测,摄像头检测进程未运行
2025-10-14 09:25:22,摄像头检测,开始摄像头实时检测，命令: D:AppInstall\pythonPyTorch+yolo\anaconda\install\envs\pytorch\python.exe e:\kaifa\gapDetection_trae\detect.py --source 0 --view-img --conf-thres 0.4 --iou-thres 0.45 --classes 0 24 25 26 28 39 41 67 27 77
2025-10-14 09:25:23,摄像头检测,摄像头检测进程已成功启动
2025-10-14 09:25:30,状态变化,从 SystemState.CLOSED 切换到 SystemState.CLOSING
2025-10-14 09:25:30,检测控制,开始摄像头实时检测
2025-10-14 09:25:30,摄像头检测,尝试停止摄像头检测进程
2025-10-14 09:25:30,摄像头检测,摄像头检测进程已停止
2025-10-14 09:25:30,摄像头检测,开始摄像头实时检测，命令: D:AppInstall\pythonPyTorch+yolo\anaconda\install\envs\pytorch\python.exe e:\kaifa\gapDetection_trae\detect.py --source 0 --view-img --conf-thres 0.4 --iou-thres 0.45 --classes 0 24 25 26 28 39 41 67 27 77
2025-10-14 09:25:31,摄像头检测,摄像头检测进程已成功启动
2025-10-14 09:25:37,错误,监控检测进程失败: 'gbk' codec can't decode byte 0x85 in position 290: illegal multibyte sequence
2025-10-14 09:25:42,摄像头检测,尝试停止摄像头检测进程
2025-10-14 09:25:42,摄像头检测,摄像头检测进程已停止
2025-10-14 09:30:43,系统启动,地铁屏蔽门间隙检测系统正在启动...
2025-10-14 09:30:47,模型加载,成功加载模型: yolov5s.pt
